Code,Name,Capience
8969650,C.9.2,129
8976461,L.2.4,118
8959357,Y.9.0,85
9955304,K.6.2,143
8967084,M.2.0,91
9612319,N.9.5,47
8968038,T.0.3,38
3181803,X.1.4,29
6453462,L.6.2,16
9175746,U.9.3,1
8978761,W.9.8,142
8951511,T.2.4,81
11839501,X.4.1,77
8976461,D.4.6,92
9612319,E.5.8,143
8951511,Q.0.3,97
8969650,O.6.7,96
9174196,B.4.7,103
9033614,Q.7.6,135
8966927,L.7.3,118
8959357,Z.8.5,113
3174676,W.6.2,129
8951511,B.9.2,54
9033614,H.5.5,132
8978761,Q.4.2,81
10629897,D.6.5,88
8966927,H.1.6,131
11126910,J.4.9,49
8959357,A.9.7,142
8955775,Q.5.3,123
8960941,F.7.5,30
8959357,V.3.1,116
8978761,C.4.4,39
8974418,L.8.2,146
8971456,N.9.1,103
8974418,Q.7.5,35
10345140,A.4.9,142
9175746,G.5.4,59
10235198,Q.0.1,143
8978761,Q.5.5,50
8968038,X.5.3,87
8974418,Z.3.8,135
8956495,P.5.7,130
8957135,V.4.3,50
8951829,M.0.5,95
6453462,W.9.3,36
8951829,X.7.3,119
8955775,A.4.4,76
9035629,Y.9.6,6
8967084,S.8.4,2
9033009,K.6.3,62
8955775,F.6.7,66
9033614,C.8.2,119
8959357,L.5.1,149
8978761,S.4.5,105
8978761,V.7.3,119
8971456,Z.8.3,79
8959357,D.5.8,56
8962499,Z.6.3,93
8967084,Y.2.2,124
11839501,Y.6.9,25
8976461,R.8.6,32
6453462,E.7.1,130
9035629,A.3.9,115
8955775,S.5.8,35
8976461,P.6.4,28
8971456,M.7.1,88
11126910,H.4.4,135
10345140,I.8.9,56
9175746,S.7.1,50
3171233,L.3.1,128
8950183,G.3.5,44
10629897,X.3.9,95
8974418,D.4.7,148
8967084,U.0.4,144
9612319,G.2.1,84
8951511,E.1.9,138
9033009,T.5.7,75
8973752,H.3.9,86
3174676,P.6.8,70
9035629,P.5.0,134
3174676,V.1.0,10
8951511,V.6.4,20
8976461,D.0.3,33
9033614,C.3.2,65
8971456,L.4.7,119
8956495,Z.4.4,98
8955775,M.6.9,131
8956495,R.3.5,146
8966927,J.3.7,145
8966927,E.1.1,149
9035629,D.4.2,107
3174676,Q.7.9,120
8960941,N.1.0,66
8957135,K.0.8,23
8971456,V.6.3,116
8957135,Q.5.1,122
9175746,C.8.9,52
8974418,P.4.2,104
11839501,P.0.1,36
8950183,F.3.7,106
8973752,A.3.0,125
8967084,T.7.0,144
8951511,L.8.6,95
8976461,E.9.6,138
8959357,J.8.5,25
9033614,U.8.6,138
9174196,D.5.0,100
8962499,P.1.7,81
8952596,V.9.0,52
9175746,M.6.5,0
9955304,H.8.2,25
11839501,B.6.0,75
9612319,H.9.0,24
3174676,A.0.6,144
8959357,F.7.5,78
8957135,G.7.0,33
9955304,J.2.9,35
8955775,U.7.0,39
8951829,W.4.8,38
8971456,F.1.3,136
9174196,L.8.7,3
8958837,T.2.1,66
8967084,O.7.1,147
8978761,N.1.7,142
9033009,Q.1.3,110
10240017,X.8.7,5
8956495,K.2.8,4
8955775,Y.2.6,140
8951829,P.9.2,126
8955775,B.0.8,144
10293949,B.8.3,63
9955304,F.5.1,43
8966927,E.3.8,33
9955304,Z.6.1,82
8950183,H.0.9,25
11839501,R.1.4,5
8962499,V.0.8,30
8962499,X.0.9,40
8967084,L.0.5,61
8971456,E.7.2,23
9035629,V.7.7,59
8952596,W.3.9,52
3174676,J.9.8,100
3174676,A.1.4,17
10240017,D.6.1,135
8966927,V.8.4,120
8958837,P.8.9,112
8969650,I.3.7,131
11126910,N.7.1,144
3174676,O.4.7,129
3174676,G.6.9,101
8974418,B.6.2,23
8978761,R.5.9,114
11839501,M.1.1,5
8967084,A.4.4,100
9175746,S.8.8,123
10235198,L.2.2,82
9033614,E.8.9,59
8960941,F.5.2,121
8973752,E.2.1,144
3174676,L.1.2,113
8962499,L.9.9,45
9175746,R.7.8,63
8952596,J.1.4,136
8959357,M.2.4,54
11126910,F.6.2,49
10345140,F.6.9,49
8968038,B.2.7,75
9174196,F.2.6,70
8951829,U.8.0,115
6453462,G.2.6,50
9175746,T.8.7,19
8962499,H.2.0,25
8951511,B.4.3,44
10293949,N.7.2,76
10240017,S.8.9,42
9175746,K.6.3,107
8959357,G.6.3,79
10345140,I.7.8,132
9955304,Q.8.8,125
10345140,N.2.4,13
8967084,B.2.1,98
9612319,G.6.7,68
9955304,A.1.1,117
8950183,E.2.9,65
6453462,L.2.0,16
9033009,U.9.2,138
3181803,K.2.5,139
8973752,Z.0.2,43
8951829,Y.7.9,50
3171233,H.9.5,135
8962499,I.2.9,109
8974418,Z.0.5,115
9955304,Q.3.2,71
9035629,L.5.2,10
9035629,V.0.9,115
6453462,U.5.1,45
8960941,C.2.1,48
8950183,C.1.4,52
8955775,N.6.0,38
9175746,Q.1.8,28
9033614,O.9.1,27
9174196,T.1.5,130
8959357,K.5.9,124
9174196,J.5.4,28
10240017,B.5.6,109
10235198,W.8.7,59
9033009,C.8.1,44
10240017,N.4.1,121
8973752,M.2.1,29
8957135,T.9.3,1
8959357,K.1.3,3
9955304,I.6.3,99
8957135,O.9.6,81
8966927,L.0.9,148
8952596,D.5.3,146
8976461,B.2.6,109
10345140,A.5.9,117
3174676,G.3.4,107
8950183,C.9.3,134
8957135,G.8.4,20
8969650,C.5.5,85
8966927,J.7.8,40
10345140,K.8.0,45
9035629,X.1.5,134
3181803,G.8.6,138
8976461,M.8.5,147
8974418,I.8.6,72
9033614,U.7.7,63
9033614,S.0.1,117
8956495,F.5.2,142
8962499,R.8.4,57
11839501,W.6.7,90
8951829,X.4.1,96
8974418,J.4.4,97
11126910,V.4.8,125
8978761,M.3.3,58
8971456,Y.1.5,143
9033009,D.4.3,67
3171233,V.6.8,50
8960941,U.7.0,133
9174196,P.3.0,108
10240017,B.7.7,137
10235198,Y.6.7,136
8978761,S.5.9,80
8968038,X.7.2,125
8956495,F.8.9,121
10629897,U.5.0,109
9033009,W.4.5,49
8968038,A.8.2,81
8966927,K.6.7,77
8957135,H.9.7,12
3181803,F.3.9,38
10345140,Z.8.0,63
8958837,T.9.5,95
10345140,N.9.8,43
3181803,K.0.3,147
10235198,F.8.6,46
8974418,E.2.2,147
10240017,V.4.4,5
8952596,W.3.9,73
8950183,O.9.9,50
10629897,N.6.4,109
3174676,T.4.4,141
9612319,K.1.5,122
9175746,Q.8.8,53
8957135,Y.7.4,17
8968038,G.1.2,113
10345140,W.0.9,40
10240017,Q.4.7,105
9955304,F.6.2,22
9175746,A.5.4,43
8969650,M.8.6,61
9174196,R.3.4,17
3171233,E.6.9,85
9955304,G.3.9,97
10345140,S.4.0,43
9035629,C.6.5,78
8962499,O.2.7,54
8959357,I.5.4,16
9035629,A.6.0,4
8962499,X.9.7,64
9612319,V.3.6,89
6453462,S.6.2,109
8976461,G.5.3,26
8976461,D.8.1,100
9174196,N.1.2,70
8973752,D.4.8,148
3174676,I.6.9,2
8976461,L.5.5,54
8960941,D.2.5,132
9033614,W.5.0,5
9033009,D.2.8,127
9612319,I.1.1,50
8950183,B.2.7,122
8974418,Y.1.2,128
3174676,T.5.7,32
3181803,N.3.7,42
8962499,M.9.5,149
8951829,O.2.9,136
10240017,Y.6.4,69
8957135,J.0.0,77
10629897,M.3.1,139
8958837,X.7.2,48
8978761,T.7.5,109
9175746,K.1.6,91
8952596,J.2.4,50
8950183,H.7.4,56
8967084,E.8.8,83
8974418,D.6.6,59
8958837,P.2.6,34
8960941,S.7.9,103
8967084,V.2.2,50
10240017,V.5.9,147
10235198,U.7.6,53
9033614,A.4.7,33
10293949,T.8.4,63
3171233,Y.7.9,131
9175746,I.6.3,56
8976461,N.3.6,17
8974418,C.2.3,42
8976461,H.9.8,48
8957135,C.9.2,131
3174676,W.8.0,50
10235198,W.5.9,64
8955775,K.5.2,96
8951829,P.9.1,92
9035629,E.8.4,136
8958837,M.2.4,55
8968038,M.5.6,50
8959357,R.0.0,57
6453462,S.8.9,101
8969650,M.0.7,17
8973752,H.9.7,104
8951511,X.5.7,25
9033009,H.4.5,2
9175746,A.1.8,77
11126910,A.9.7,103
8969650,J.1.1,55
8962499,S.2.4,14
11839501,D.2.1,94
8950183,B.1.4,75
8957135,U.6.5,104
8951829,C.8.2,66
8966927,R.7.5,37
8966927,H.3.8,124
11126910,Z.1.6,75
8959357,M.4.7,64
8960941,P.5.3,13
9035629,F.6.8,90
8969650,U.6.2,144
8955775,F.0.3,12
8969650,V.5.0,124
3171233,W.5.2,134
11839501,U.1.1,137
8969650,T.7.4,102
10345140,Y.8.5,127
11839501,N.6.0,9
3174676,D.6.4,135
10629897,F.1.4,85
8958837,Q.1.0,104
9955304,C.6.0,127
8960941,U.0.0,141
6453462,Q.9.2,73
3171233,J.9.2,63
3181803,A.7.4,133
9033009,W.8.3,134
8957135,N.2.7,134
8966927,M.5.2,36
11839501,C.0.8,11
8959357,R.4.6,112
8976461,X.8.7,135
9033614,O.1.4,124
10629897,P.0.1,51
8968038,U.2.3,57
9174196,U.1.5,135
9955304,C.8.6,134
10629897,J.6.4,45
11839501,D.2.1,108
8976461,L.9.3,148
8956495,H.0.0,15
8959357,X.4.5,90
11126910,C.0.8,61
9033614,W.4.3,84
8951829,Z.5.0,129
10235198,Q.8.0,30
8955775,O.2.1,124
9175746,D.2.2,20
8959357,C.0.0,24
8958837,R.0.0,109
8960941,C.4.0,41
8971456,Z.1.1,63
8951511,A.2.0,31
8968038,T.4.2,95
9612319,B.0.8,101
8968038,D.8.8,73
11839501,J.0.3,31
8951511,L.6.4,104
8951511,F.5.2,70
8966927,J.3.5,88
8950183,H.9.7,81
11839501,D.3.9,66
8966927,C.6.0,129
8950183,X.3.7,33
8955775,L.1.3,8
3171233,K.5.0,90
9612319,U.2.0,13
6453462,P.2.3,6
8969650,B.6.3,80
8973752,P.3.2,94
3171233,P.9.7,100
8969650,Q.1.6,79
9175746,R.3.5,38
8962499,G.2.7,4
10240017,N.9.0,140
9612319,C.8.4,68
8968038,Z.6.3,62
9035629,M.1.3,118
11126910,A.7.6,108
8951829,A.7.2,48
8974418,B.7.2,95
3174676,H.2.9,28
9175746,J.5.1,35
9175746,S.9.5,62
6453462,N.6.0,6
8960941,J.5.5,92
9035629,N.8.5,111
8969650,N.3.0,132
8973752,O.8.9,25
8951829,J.9.2,31
9033614,F.9.4,36
11839501,E.1.7,34
10235198,D.2.6,9
10629897,B.2.3,64
8971456,A.0.9,44
8967084,U.9.9,44
8968038,U.8.2,88
11126910,I.9.0,24
8966927,J.7.2,58
8957135,E.8.8,36
8957135,W.0.0,103
8951829,R.5.2,93
8978761,O.2.4,26
10235198,F.9.2,118
8952596,E.6.3,83
9174196,R.7.3,34
9612319,W.2.0,139
10345140,N.7.2,87
8950183,G.6.8,82
8959357,B.6.3,131
8957135,S.2.4,10
8971456,T.4.9,46
8969650,W.7.7,54
3174676,G.0.1,68
8951511,W.5.6,20
8950183,F.3.7,43
9035629,U.7.7,4
9035629,B.9.6,117
10629897,V.5.1,46
9174196,J.4.2,54
10293949,V.6.1,2
8971456,O.5.7,113
8967084,P.7.5,53
8976461,I.3.3,78
8969650,S.1.7,99
8957135,W.8.0,146
8958837,S.5.5,40
8962499,Z.8.5,93
11126910,Y.0.8,143
8958837,J.9.0,77
8974418,R.9.9,22
9612319,M.3.1,72
8952596,H.5.9,26
6453462,D.4.9,22
8957135,S.7.4,86
8973752,N.7.5,81
11839501,K.3.0,21
9035629,S.7.0,27
10345140,Q.9.4,116
9175746,T.5.7,4
8962499,I.5.9,97
9175746,F.5.0,142
8962499,C.8.3,54
8960941,X.6.6,90
8971456,J.4.7,131
8969650,R.7.7,66
8958837,X.5.6,131
9033614,C.8.7,67
11839501,G.9.5,129
8957135,U.0.8,60
9035629,M.7.0,22
8971456,I.9.8,50
6453462,M.6.2,91
8957135,E.0.5,74
6453462,F.0.5,131
11839501,G.8.8,60
8959357,D.0.8,88
8974418,Q.9.9,84
8962499,T.2.9,62
6453462,J.1.0,68
6453462,V.3.6,6
9175746,R.5.7,54
8951829,D.0.8,66
9612319,M.7.6,147
6453462,X.1.6,149
8950183,M.0.3,90
10629897,J.7.7,101
10629897,K.2.0,80
3171233,N.9.4,53
8973752,K.3.7,114
9612319,T.7.7,120
8967084,J.2.6,16
10345140,E.1.1,67
8978761,D.8.2,135
8955775,J.4.5,48
8967084,J.1.0,16
8971456,D.9.5,80
8968038,X.0.1,62
8973752,T.9.3,74
8974418,X.7.1,108
3174676,X.2.7,7
9174196,D.5.3,118
3174676,E.8.1,80
9612319,Z.1.2,105
10345140,D.1.0,116
8973752,M.7.3,78
8971456,M.1.8,61
9174196,Q.5.5,128
10345140,B.1.9,21
3181803,J.0.1,110
10240017,J.0.6,144
10293949,T.0.9,129
9175746,E.4.0,68
8955775,A.0.4,103
8976461,T.8.3,128
8973752,C.2.7,97
8952596,K.5.7,112
8960941,I.7.9,103
9035629,D.3.4,128
3171233,Y.9.2,129
10293949,Y.9.9,2
8971456,W.3.9,55
10629897,C.8.0,73
8956495,S.6.2,75
9033614,G.3.7,61
9033614,O.9.3,33
8976461,C.7.8,84
8974418,Q.0.4,57
8959357,V.7.6,135
11126910,H.9.5,15
8950183,F.1.4,120
8973752,X.3.4,134
3171233,A.1.9,48
9174196,A.8.2,36
8960941,U.3.2,3
8951511,G.9.8,106
9033614,P.8.1,77
11126910,E.7.0,7
10293949,P.9.0,91
8955775,M.2.0,3
9033009,E.0.9,116
8962499,Y.4.7,18
8966927,R.1.5,53
9612319,T.2.1,117
3174676,C.6.2,58
8969650,H.6.3,4
10235198,H.4.4,87
8971456,D.8.9,146
8952596,C.4.2,103
8974418,X.9.7,73
8959357,P.6.4,32
8971456,L.6.1,114
8976461,X.0.8,108
10240017,Z.4.3,147
11126910,I.0.5,120
10240017,C.8.2,131
8969650,T.2.4,73
8958837,W.6.9,17
11126910,E.8.6,48
8968038,J.9.5,123
10235198,N.6.0,17
8973752,D.2.5,146
11126910,P.7.8,38
11839501,P.6.0,149
11839501,I.4.4,70
9175746,F.4.1,12
8955775,D.4.8,99
8962499,E.0.3,88
8957135,L.0.2,116
9033009,U.6.6,46
8968038,L.3.2,59
8952596,W.5.5,74
9955304,F.2.1,113
8973752,X.2.4,63
8951829,G.0.3,64
8955775,F.6.3,55
8974418,G.6.6,74
8955775,S.3.1,24
8971456,A.6.0,5
8959357,L.4.5,24
8956495,R.3.6,20
8976461,X.7.0,54
8974418,G.7.5,9
9035629,R.8.1,66
8971456,D.7.3,85
10629897,O.2.7,16
8971456,E.3.7,65
9612319,D.6.4,15
9955304,C.1.6,90
8978761,K.9.5,136
10293949,Q.5.0,24
8968038,N.5.7,80
11126910,J.1.8,100
10345140,W.9.7,103
9033009,P.2.8,90
9033009,R.8.6,102
9174196,W.4.5,86
9033614,D.9.6,89
8969650,Z.3.2,3
8955775,Z.1.4,42
8966927,M.8.8,145
8978761,R.0.2,57
8959357,K.3.2,11
8952596,Q.6.8,124
9035629,P.6.6,72
11126910,O.4.0,19
9175746,L.4.6,144
3181803,D.0.4,138
10293949,O.1.3,143
11839501,X.2.0,5
8960941,E.0.1,9
8973752,U.6.3,101
9035629,E.1.8,39
8956495,R.9.1,99
8951829,X.8.0,87
8950183,Q.7.1,6
8960941,J.2.8,50
8959357,T.6.9,125
8974418,X.6.7,137
10293949,I.2.9,48
9955304,H.8.5,17
8962499,K.4.0,138
8969650,C.6.9,33
10235198,G.0.4,49
8959357,Z.2.1,108
8958837,J.9.3,90
10293949,U.3.3,84
10240017,G.4.2,35
11839501,Q.3.5,55
8955775,B.6.2,128
8950183,P.3.5,130
8971456,P.6.1,85
8968038,S.9.3,30
6453462,Y.2.0,94
3171233,K.4.1,100
8960941,C.5.2,94
8969650,V.0.9,52
8973752,A.0.8,81
9033614,S.5.5,140
3171233,Y.8.6,127
8973752,K.5.5,57
3171233,F.8.9,138
8955775,E.5.2,121
9033009,G.1.5,111
8950183,K.0.5,130
8969650,N.1.9,142
8962499,B.0.6,107
9033009,A.7.4,88
11126910,P.1.9,102
3181803,C.7.9,101
10293949,E.4.7,50
8962499,R.0.5,124
8955775,F.5.0,18
10235198,K.6.7,77
3171233,S.8.0,28
8978761,P.6.7,147
8974418,O.0.3,88
9174196,D.6.0,34
8966927,J.6.1,1
10240017,K.4.3,86
9033009,E.1.9,20
10345140,P.6.2,140
9033009,G.5.5,139
10293949,C.7.4,79
8957135,Q.2.1,79
8952596,B.5.5,93
8952596,T.5.1,133
8968038,W.1.3,7
9955304,G.1.2,79
9033614,Q.7.1,124
8968038,R.1.4,78
8951829,U.1.8,138
8951829,V.9.1,89
8968038,O.4.6,91
9955304,Q.5.1,142
6453462,Q.0.6,30
8951829,X.1.9,88
3171233,Q.5.6,120
9035629,T.6.6,42
10240017,F.9.7,60
8969650,Z.7.8,136
10240017,V.0.4,114
8968038,G.2.6,23
8978761,A.1.4,17
8950183,F.4.8,5
8967084,P.3.9,60
11126910,B.5.6,20
8951829,E.1.8,69
8955775,H.2.3,52
8956495,Q.3.7,52
8962499,D.2.4,131
8952596,G.0.1,15
8958837,T.8.1,97
8955775,Z.0.7,43
8962499,T.4.2,71
9175746,J.1.7,48
8959357,I.0.2,142
8974418,C.6.4,23
9955304,L.6.4,115
8959357,S.3.8,135
8952596,D.1.8,33
3174676,E.9.9,74
8966927,X.9.4,147
8952596,P.0.4,146
10629897,U.7.2,92
9174196,Q.3.8,51
8951829,E.0.5,92
10629897,S.6.9,110
11839501,J.8.5,93
8950183,Y.5.6,98
9035629,K.6.4,56
8955775,B.7.4,9
9612319,A.3.3,145
10240017,Q.3.2,109
8952596,C.1.7,104
9175746,E.6.1,2
10629897,O.1.5,104
8971456,W.8.9,50
8950183,F.1.1,114
3174676,X.9.3,6
6453462,R.0.8,125
9035629,N.6.4,147
8978761,O.6.2,24
11126910,I.6.6,103
8959357,Z.5.8,123
8967084,R.0.3,123
6453462,W.4.0,18
8967084,Q.3.8,41
8952596,O.7.0,65
9033009,O.5.5,29
8973752,N.5.0,102
10293949,M.0.4,138
8978761,E.9.3,48
8955775,I.0.7,10
10235198,T.1.2,44
8952596,W.1.4,128
8971456,U.7.9,141
8967084,W.8.9,23
8958837,I.4.3,85
8955775,L.2.7,69
8958837,O.3.4,107
9035629,H.0.0,84
8966927,A.2.3,104
11126910,Y.6.6,122
8958837,E.2.2,20
8967084,F.1.4,144
8969650,E.8.4,119
8950183,I.2.0,81
10240017,U.1.5,82
9035629,S.5.5,59
8959357,O.1.1,19
8962499,E.6.7,34
8950183,M.4.7,1
8956495,S.5.9,138
11126910,X.4.7,90
3171233,S.7.6,103
6453462,L.9.0,116
11126910,U.5.7,120
10240017,B.0.7,34
8969650,A.7.9,25
8974418,H.4.2,55
8973752,A.3.5,94
10293949,T.7.9,104
8978761,X.5.8,23
8974418,M.4.0,135
8956495,J.6.1,60
8978761,I.7.0,11
10235198,Z.1.8,116
8958837,G.3.1,135
8971456,O.7.1,24
8971456,J.8.2,56
8960941,O.6.2,112
10345140,J.0.9,100
8962499,V.7.2,105
9955304,N.0.1,102
11839501,J.6.1,110
10240017,D.7.5,94
8950183,N.2.3,10
10235198,D.8.6,3
10293949,Y.5.4,13
8968038,Q.5.2,45
10345140,B.9.6,110
9174196,A.3.4,92
8950183,S.6.2,111
9612319,T.5.4,118
8952596,O.2.4,3
8971456,Q.7.2,19
9033614,F.8.3,117
3181803,P.8.2,40
11126910,L.5.5,147
10235198,Y.9.4,116
8966927,W.0.5,120
10345140,F.6.5,11
3174676,W.3.0,143
9175746,N.0.5,58
10293949,A.2.8,137
8978761,X.9.7,134
8969650,Z.5.5,20
11126910,Y.5.2,121
8957135,A.1.7,135
8955775,R.4.8,70
10235198,O.3.2,56
8969650,W.9.2,118
8969650,P.0.2,71
8950183,N.7.5,41
8967084,A.7.3,111
8955775,S.5.2,96
8966927,F.5.7,100
9033614,N.9.9,87
8951511,V.5.9,96
8951829,R.6.3,102
8966927,W.5.3,120
8978761,R.0.4,35
6453462,J.4.8,78
8956495,Y.5.2,117
8974418,Z.1.8,96
8976461,E.9.1,29
8951829,Z.2.2,63
9033614,O.8.8,149
3181803,H.7.7,31
8974418,J.8.2,40
9174196,K.3.7,2
8976461,V.6.3,80
9035629,H.7.3,35
8959357,G.3.2,99
10235198,A.5.8,125
10240017,E.1.9,118
8960941,K.6.6,10
8976461,Q.0.4,135
8976461,K.7.8,115
8956495,R.0.6,142
3171233,O.1.6,56
8974418,E.8.4,87
10293949,W.0.8,46
8966927,L.2.5,74
8968038,Z.8.1,26
8951829,G.5.6,17
11839501,R.0.5,16
3174676,T.1.4,55
9612319,D.6.4,60
8968038,O.8.6,42
8955775,G.5.6,4
10629897,U.7.7,17
10629897,B.2.0,117
8974418,F.3.1,96
11126910,V.8.8,99
8969650,F.2.6,90
9033009,T.1.9,69
8952596,Y.8.4,135
8958837,X.9.4,133
6453462,Z.5.3,47
8974418,J.5.0,94
3171233,M.4.8,36
9033614,W.2.7,125
8960941,D.5.8,66
8959357,A.5.1,131
9035629,Y.3.9,99
8974418,Z.9.7,127
8962499,S.8.0,83
8952596,W.8.6,59
8974418,Y.3.6,87
11126910,V.7.9,68
3171233,M.4.3,24
9955304,U.5.2,81
11839501,P.7.5,38
8969650,D.2.0,120
8969650,C.6.5,87
11126910,F.6.9,36
